year,state,quarter,totalRXImputed
2017,DE,4,31227
2017,FL,1,285644
2017,FL,2,357164
2017,FL,3,290836
2017,FL,4,274755
2017,HI,1,43847
2017,HI,2,40232
2017,HI,3,33230
2017,HI,4,28556
2017,IL,1,423109
2017,IL,2,300470
2017,IL,3,280173
2017,IL,4,254995
2017,IN,1,231791
2017,IN,2,230983
2017,IN,3,213513
2017,IN,4,194068
2017,KY,1,244186
2017,KY,2,215690
2017,KY,3,230614
2017,KY,4,216499
2017,LA,1,237997
2017,LA,2,258417
2017,LA,3,215012
2017,LA,4,200606
2017,MI,1,431063
2017,MI,2,428492
2017,MI,3,407015
2017,MI,4,372165
2017,MO,1,152058
2017,MO,2,141295
2017,MO,3,144643
2017,MO,4,133074
2017,MS,1,79322
2017,MS,2,77684
2017,MS,3,72553
2017,MS,4,66658
2017,NC,1,305041
2017,NC,2,217243
2017,NC,3,230193
2017,NC,4,187919
2017,NH,1,17005
2017,NH,2,17149
2017,NH,3,16402
2017,NH,4,16043
2017,NJ,1,190411
2017,NJ,2,182110
2017,NJ,3,169374
2017,NJ,4,157396
2017,NV,1,145646
2017,NV,2,144033
2017,NV,3,140602
2017,NV,4,127442
2017,NY,1,398160
2017,NY,2,394947
2017,NY,3,380226
2017,NY,4,350411
2017,OH,1,540175
2017,OH,2,673742
2017,OH,3,471915
2017,OH,4,402827
2017,OK,1,92752
2017,OK,2,93201
2017,OK,3,89614
2017,OK,4,87777
2017,PA,1,379536
2017,PA,2,515293
2017,PA,3,333283
2017,PA,4,294786
2017,SC,1,84576
2017,SC,2,81016
2017,SC,3,79098
2017,SC,4,73856
2017,TN,1,207585
2017,TN,2,197731
2017,TN,3,184373
2017,TN,4,177731
2017,UT,1,45984
2017,UT,2,45393
2017,UT,3,41681
2017,UT,4,38091
2017,VA,1,126910
2017,VA,2,114274
2017,VA,3,108311
2017,VA,4,98315
2017,WA,1,235552
2017,WA,2,222536
2017,WA,3,280770
2017,WA,4,198945
2017,WV,1,108301
2017,WV,2,106921
2017,WV,3,63363
2017,WV,4,92725
2017,WY,1,8653
2017,WY,2,8825
2017,WY,3,8207
2017,WY,4,8156
2018,AK,1,24069
2018,AK,2,18005
2018,AK,3,25042
2018,AK,4,19725
2018,AZ,1,193029
2018,AZ,2,180235
2018,AZ,3,173752
2018,AZ,4,160974
2018,CO,1,138027
2018,CO,2,138057
2018,CO,3,125174
2018,CO,4,125175
2018,CT,1,81876
2018,CT,2,79811
2018,CT,3,78509
2018,CT,4,76068
2018,DE,1,30758
2018,DE,2,32885
2018,DE,3,30774
2018,DE,4,28239
2018,FL,1,269096
2018,FL,2,253661
2018,FL,3,213609
2018,FL,4,195278
2018,HI,1,32841
2018,HI,2,32317
2018,HI,3,27724
2018,HI,4,22868
2018,IL,1,229817
2018,IL,2,231759
2018,IL,3,223380
2018,IL,4,207360
2018,IN,1,172279
2018,IN,2,164640
2018,IN,3,156567
2018,IN,4,146997
2018,KY,1,219729
2018,KY,2,216468
2018,KY,3,200323
2018,KY,4,189258
2018,LA,1,190083
2018,LA,2,191524
2018,LA,3,189226
2018,LA,4,176296
2018,MI,1,351522
2018,MI,2,318556
2018,MI,3,286854
2018,MI,4,269618
2018,MO,1,126363
2018,MO,2,119144
2018,MO,3,110078
2018,MO,4,103364
2018,MS,1,63715
2018,MS,2,62126
2018,MS,3,59411
2018,MS,4,56293
2018,NC,1,188740
2018,NC,2,151834
2018,NC,3,168681
2018,NC,4,132181
2018,NH,1,14922
2018,NH,2,15103
2018,NH,3,14369
2018,NH,4,15938
2018,NJ,1,150340
2018,NJ,2,146827
2018,NJ,3,140404
2018,NJ,4,133855
2018,NV,1,110073
2018,NV,2,105924
2018,NV,3,100386
2018,NV,4,95573
2018,NY,1,353485
2018,NY,2,342099
2018,NY,3,328561
2018,NY,4,316060
2018,OH,1,374667
2018,OH,2,380181
2018,OH,3,339188
2018,OH,4,320069
2018,OK,1,81780
2018,OK,2,79029
2018,OK,3,78261
2018,OK,4,68638
2018,PA,1,262309
2018,PA,2,243495
2018,PA,3,216399
2018,PA,4,187821
2018,SC,1,67500
2018,SC,2,58224
2018,SC,3,54448
2018,SC,4,51890
2018,TN,1,131450
2018,TN,2,111720
2018,TN,3,105233
2018,TN,4,96464
2018,UT,1,38133
